spkid,full_name,name,neo,sats,H,orbit_id,e,a,q,i,om,w,tp,per,per_y,moid,moid_ld,moid_jup,t_jup,data_arc,condition_code,rms,pha,class
20008408,  8408 Strom (1995 SX12),Strom,N,0,14.15,JPL 47,0.0979,3.045,2.746,0.35,201.76,24.97,2461011.07,1940,5.31,1.74,677,1.63,3.23,19018,0,0.56182,N,MBA
20008409,  8409 Valentaugustus (1995 WB43),Valentaugustus,N,0,12.67,JPL 55,0.1562,3.202,2.701,4.33,262.02,102.01,2460552.01,2090,5.73,1.7,663,1.81,3.17,22951,0,0.45777,N,OMB
20008410,  8410 Hiroakiohno (1996 QZ1),Hiroakiohno,N,0,12.92,JPL 64,0.1743,3.23,2.667,2.74,96.64,299.9,2461183.44,2120,5.81,1.68,652,1.64,3.16,18593,0,0.50086,N,OMB
20008411,  8411 Celso (1996 TO),Celso,N,0,15.15,JPL 50,0.1482,2.327,1.982,3.49,142.75,153.46,2460492.91,1300,3.55,0.967,376,2.5,3.56,24990,0,0.47814,N,MBA
20008412,  8412 Zhaozhongxian (1996 TM6),Zhaozhongxian,N,0,15.66,JPL 31,0.1949,2.383,1.919,2.22,45.04,334.98,2461194.48,1340,3.68,0.921,358,2.61,3.51,26166,0,0.54657,N,MBA
20008413,  8413 Kawakami (1996 TV10),Kawakami,N,0,13.75,JPL 60,0.1246,2.233,1.955,5.91,43.69,222.38,2460998.73,1220,3.34,0.945,368,2.55,3.62,17335,0,0.46761,N,MBA
20008414,  8414 Atsuko (1996 TW10),Atsuko,N,0,13.83,JPL 55,0.1056,2.386,2.134,2.2,126.01,193.88,2460944.92,1350,3.69,1.12,436,2.59,3.53,15603,0,0.44953,N,MBA
20008416,  8416 Okada (1996 VB8),Okada,N,0,14.1,JPL 62,0.1952,2.153,1.733,3.32,169.98,130.37,2460527.63,1150,3.16,0.72,280,2.64,3.68,16074,0,0.40781,N,MBA
20008417,  8417 Lancetaylor (1996 VG8),Lancetaylor,N,0,13.95,JPL 50,0.1946,2.211,1.781,5.81,262.44,27.22,2460888.94,1200,3.29,0.768,299,2.52,3.62,13747,0,0.38855,N,MBA
20008418,  8418 Mogamigawa (1996 VS30),Mogamigawa,N,0,13.52,JPL 54,0.1118,2.753,2.446,3.09,346.78,309.5,2459880.79,1670,4.57,1.43,557,2.11,3.33,13916,0,0.46765,N,MBA
20008419,  8419 Terumikazumi (1996 VK38),Terumikazumi,N,0,13.42,JPL 59,0.1015,2.746,2.467,7.54,168.94,95.94,2461345.35,1660,4.55,1.47,571,2.06,3.33,16918,0,0.49716,N,MBA
20008420,  8420 Angrogna (1996 WQ),Angrogna,N,0,13.11,JPL 61,0.1357,2.602,2.249,11.88,303.1,268.42,2460281,1530,4.2,1.28,499,2.18,3.37,17828,0,0.39789,N,MBA
20008421,  8421 Montanari (1996 XA9),Montanari,N,0,13.66,JPL 58,0.0343,2.873,2.774,2.34,156.7,290.53,2461148.3,1780,4.87,1.79,697,2.09,3.29,17489,0,0.46939,N,MBA
20008422,  8422 Mohorovicic (1996 XJ26),Mohorovicic,N,0,13.84,JPL 44,0.1269,2.959,2.584,3.07,96.26,222.7,2461059.42,1860,5.09,1.57,612,1.94,3.25,14160,0,0.50474,N,MBA
20008423,  8423 Macao (1997 AO22),Macao,N,0,13.81,JPL 42,0.2572,3.125,2.321,2.39,144.92,241.66,2460228.94,2020,5.52,1.33,516,1.53,3.16,12178,0,0.54773,N,MBA
20008424,  8424 Toshitsumita (1997 CP),Toshitsumita,N,0,14.09,JPL 49,0.1953,2.4,1.932,3.73,157.85,201.27,2460859.45,1360,3.72,0.928,361,2.57,3.5,17648,0,0.37633,N,MBA
20008425,  8425 Zirankexuejijin (1997 CJ29),Zirankexuejijin,N,0,14.11,JPL 51,0.0657,2.264,2.115,3.66,154.76,13.92,2460541.9,1240,3.41,1.12,437,2.55,3.61,13575,0,0.45602,N,MBA
20008428,  8428 Okiko (1997 VJ8),Okiko,N,0,14.28,JPL 51,0.1826,2.378,1.943,1.58,202.45,239.31,2460225.51,1340,3.67,0.96,374,2.43,3.52,13712,0,0.48895,N,MBA
20008430,  8430 Florey (1997 YB5),Florey,N,0,13.96,JPL 50,0.1028,2.806,2.518,3.67,78.58,108.96,2459836.68,1720,4.7,1.52,593,1.86,3.31,16752,0,0.50625,N,MBA
20008431,  8431 Haseda (1997 YQ13),Haseda,N,0,12.97,JPL 65,0.0505,2.805,2.663,1.61,246.1,219.09,2461039.71,1720,4.7,1.68,654,2.12,3.32,18079,0,0.44272,N,MBA
20008432,  8432 Tamakasuga (1997 YD18),Tamakasuga,N,0,13.68,JPL 53,0.1624,3.172,2.657,2.35,86.28,78.33,2461325.47,2060,5.65,1.67,649,1.29,3.18,17694,0,0.51865,N,MBA
20008433,  8433 Brachyrhynchus (2561 P-L),Brachyrhynchus,N,0,13.47,JPL 52,0.0635,2.711,2.539,13.14,23.66,161.55,2460835.65,1630,4.46,1.54,601,2.07,3.32,23199,0,0.37936,N,MBA
20008434,  8434 Columbianus (6571 P-L),Columbianus,N,0,13.58,JPL 42,0.2388,2.983,2.271,3.13,118.02,337.78,2460034.91,1880,5.15,1.29,501,1.51,3.21,23295,0,0.48452,N,MBA
20008435,  8435 Anser (6643 P-L),Anser,N,0,14.87,JPL 51,0.169,2.22,1.845,4.79,31.18,18.99,2460281.03,1210,3.31,0.855,333,2.78,3.63,23204,0,0.51033,N,MBA
20008436,  8436 Leucopsis (2259 T-1),Leucopsis,N,0,14.02,JPL 37,0.1226,3.098,2.718,4.2,129.6,301.48,2460433.42,1990,5.45,1.74,675,1.8,3.21,19308,0,0.56523,N,MBA
20008437,  8437 Bernicla (3057 T-1),Bernicla,N,0,14.88,JPL 47,0.0427,2.528,2.421,2.45,230.39,40.26,2460448.18,1470,4.02,1.41,547,2.38,3.45,19500,0,0.60197,N,MBA
20008438,  8438 Marila (4825 T-1),Marila,N,0,14.54,JPL 52,0.159,2.268,1.907,3.16,121.53,275.99,2460501.19,1250,3.42,0.917,357,2.79,3.6,19505,0,0.48237,N,MBA
20008439,  8439 Albellus (2034 T-2),Albellus,N,0,13.77,JPL 47,0.1423,3.157,2.708,0.99,56.67,65.37,2461007.63,2050,5.61,1.73,671,1.47,3.19,18619,0,0.53695,N,MBA
20008440,  8440 Wigeon (1017 T-3),Wigeon,N,0,13.39,JPL 57,0.1393,2.784,2.396,7.74,284.12,29.11,2460122.34,1700,4.64,1.39,539,2.08,3.31,17142,0,0.42392,N,MBA
20008441,  8441 Lapponica (4008 T-3),Lapponica,N,0,14.04,JPL 56,0.1384,2.19,1.887,4.99,97.81,87.44,2460538.42,1180,3.24,0.899,350,2.47,3.66,26022,0,0.48153,N,MBA
20008442,  8442 Ostralegus (4237 T-3),Ostralegus,N,0,14.98,JPL 41,0.1473,2.368,2.019,4.77,90.43,36.75,2461074.85,1330,3.64,1.04,404,2.35,3.53,17142,0,0.51424,N,MBA
20008443,  8443 Svecica (4343 T-3),Svecica,N,0,12.84,JPL 62,0.2367,2.792,2.131,10.44,177.29,15.6,2461264.25,1700,4.66,1.14,442,1.5,3.26,17141,0,0.38001,N,MBA
20008444,  8444 Popovich (1969 TR1),Popovich,N,0,14.05,JPL 50,0.2693,2.268,1.657,1.94,352.99,347.24,2460371.08,1250,3.42,0.648,252,2.52,3.56,35054,0,0.50683,N,MCA
20008445,  8445 Novotroitskoe (1973 QG2),Novotroitskoe,N,0,13.31,JPL 52,0.2014,3.05,2.436,2.83,47.23,327.28,2461468.93,1950,5.33,1.44,559,1.8,3.2,18541,0,0.39077,N,MBA
20008446,  8446 Tazieff (1973 SB6),Tazieff,N,0,14.92,JPL 40,0.1952,2.426,1.953,1.79,142.44,219.94,2461288.23,1380,3.78,0.95,370,2.55,3.48,25471,0,0.52081,N,MBA
20008447,  8447 Cornejo (1974 OE),Cornejo,N,0,14.23,JPL 56,0.117,2.312,2.042,7.13,15.78,278.08,2460226.51,1280,3.52,1.04,405,2.59,3.56,18321,0,0.40445,N,MBA
20008448,  8448 Belyakina (1976 UT1),Belyakina,N,0,14.17,JPL 49,0.061,2.267,2.129,4.08,221.29,205.34,2460637.41,1250,3.41,1.14,445,2.76,3.61,17492,0,0.45226,N,MBA
20008449,  8449 Maslovets (1977 EO1),Maslovets,N,0,13.12,JPL 55,0.1577,3.033,2.555,2.87,51.43,186.93,2460840.55,1930,5.28,1.54,601,1.49,3.22,19020,0,0.48384,N,MBA
20008450,  8450 Egorov (1977 QL1),Egorov,N,0,13.35,JPL 54,0.0897,2.749,2.502,4.87,342.72,34.03,2460148.87,1660,4.56,1.5,585,2.45,3.34,23539,0,0.41456,N,MBA
20008451,  8451 Gaidai (1977 RY6),Gaidai,N,0,13.95,JPL 51,0.1669,2.774,2.311,9.19,5.35,357.66,2460252.48,1690,4.62,1.31,509,2.21,3.3,16925,0,0.44968,N,MBA
20008452,  8452 Clay (1978 WB),Clay,N,0,14.81,JPL 42,0.169,2.407,2,2.2,56.13,345.9,2460132.09,1360,3.74,1.01,392,2.59,3.5,16582,0,0.50889,N,MBA
20008453,  8453 Flaviataldini (1981 EQ),Flaviataldini,N,0,13.18,JPL 50,0.1325,3.218,2.791,10.68,11.09,233.11,2461645.64,2110,5.77,1.8,699,1.45,3.15,25602,0,0.47479,N,OMB
20008454,  8454 Micheleferrero (1981 EG1),Micheleferrero,N,0,13.7,JPL 51,0.0681,2.615,2.437,3.62,21.68,228.33,2460369.69,1540,4.23,1.43,555,2.21,3.4,15922,0,0.45804,N,MBA
20008455,  8455 Johnrayner (1981 ER6),Johnrayner,N,0,14.32,JPL 42,0.1906,2.64,2.137,5.13,271.13,235.09,2460258.75,1570,4.29,1.16,450,1.91,3.36,16336,0,0.48906,N,MBA
20008456,  8456 Davegriep (1981 EJ7),Davegriep,N,0,12.86,JPL 51,0.0416,3.168,3.036,7.83,306.74,28.25,2459972.67,2060,5.64,2.03,789,1.94,3.19,15925,0,0.4803,N,MBA
20008457,  8457 Billgolisch (1981 EO8),Billgolisch,N,0,13.88,JPL 53,0.1626,2.637,2.208,3.86,284.5,158.79,2459989.02,1560,4.28,1.23,477,2.16,3.38,17740,0,0.47682,N,MBA
20008458,  8458 Georgekoenig (1981 EY9),Georgekoenig,N,0,14.96,JPL 51,0.1431,2.267,1.942,3.69,298.52,177.27,2460716.22,1250,3.41,0.96,373,2.5,3.6,15920,0,0.50253,N,MBA
20008459,  8459 Larsbergknut (1981 EQ18),Larsbergknut,N,0,13.92,JPL 42,0.1879,3.121,2.535,1.88,147.5,252.61,2460187.08,2010,5.51,1.54,600,1.72,3.19,16657,0,0.52076,N,MBA
20008460,  8460 Imainamahoe (1981 EP19),Imainamahoe,N,0,14.95,JPL 45,0.1094,2.246,2,3.03,165.66,220.45,2460185.24,1230,3.37,1,391,2.92,3.62,19376,0,0.49877,N,MBA
20008461,  8461 Sammiepung (1981 EC21),Sammiepung,N,0,14.85,JPL 41,0.1682,2.651,2.206,4.91,11.39,76.29,2460140.46,1580,4.32,1.23,478,2.14,3.37,17202,0,0.52976,N,MBA
20008462,  8462 Hazelsears (1981 ED22),Hazelsears,N,0,15.36,JPL 42,0.0665,2.612,2.438,2.33,174.34,42.06,2460248.92,1540,4.22,1.43,558,2.17,3.41,15879,0,0.55992,N,MBA
20008463,  8463 Naomimurdoch (1981 EM27),Naomimurdoch,N,0,14.42,JPL 41,0.1729,3.197,2.644,2.67,138.01,352.25,2461191.23,2090,5.72,1.66,646,1.31,3.17,15921,0,0.58423,N,MBA
20008464,  8464 Polishook (1981 EF28),Polishook,N,0,13.66,JPL 52,0.157,2.643,2.228,10.46,9.48,319.17,2460971.47,1570,4.3,1.23,478,2.35,3.35,15844,0,0.33599,N,MBA
20008465,  8465 Bancelin (1981 EQ31),Bancelin,N,0,14.56,JPL 35,0.1567,3.167,2.671,6.39,168.29,266.21,2460647.35,2060,5.64,1.7,660,1.68,3.17,15916,0,0.48782,N,MBA
20008466,  8466 Leyrat (1981 EV34),Leyrat,N,0,14.81,JPL 46,0.2208,2.584,2.013,2.46,156.81,179.44,2460497.6,1520,4.15,1,390,2.23,3.39,15900,0,0.5274,N,MBA
20008467,  8467 Benoitcarry (1981 ES35),Benoitcarry,N,0,13.35,JPL 52,0.0576,3.205,3.02,10.5,1.81,112.27,2461128.22,2100,5.74,2.06,800,1.67,3.16,16779,0,0.42728,N,OMB
20008468,  8468 Rhondastroud (1981 EA40),Rhondastroud,N,0,14.32,JPL 39,0.1943,3.175,2.558,2.85,132.22,182.5,2459902.78,2070,5.66,1.54,601,1.5,3.17,16945,0,0.59262,N,MBA
20008470,  8470 Dudinskaya (1982 SA4),Dudinskaya,N,0,13.91,JPL 60,0.193,2.271,1.832,4.96,33.72,300.65,2460144.5,1250,3.42,0.829,322,2.66,3.58,30109,0,0.48262,N,MBA
20008471,  8471 Obrant (1983 RX4),Obrant,N,0,14.86,JPL 42,0.2038,2.207,1.757,5.29,254.36,107.97,2461170.39,1200,3.28,0.763,297,2.83,3.63,24265,0,0.52703,N,MBA
20008472,  8472 Tarroni (1983 TC),Tarroni,N,0,13.46,JPL 54,0.1966,2.693,2.164,11.94,228.7,126.46,2460117.44,1610,4.42,1.18,461,2.35,3.31,16165,0,0.44311,N,MBA
20008474,  8474 Rettig (1985 GA1),Rettig,N,1,13.87,JPL 56,0.1728,2.224,1.84,5.91,132.56,141.92,2460878.42,1210,3.32,0.828,322,2.51,3.62,25227,0,0.43751,N,MBA
20008475,  8475 Vsevoivanov (1985 PC2),Vsevoivanov,N,0,13.19,JPL 54,0.2562,3.069,2.283,4.84,118.36,265.35,2460271.78,1960,5.38,1.29,503,1.63,3.17,15820,0,0.42302,N,MBA
20008477,  8477 Andrejkiselev (1986 RF7),Andrejkiselev,N,0,14.81,JPL 53,0.1615,2.203,1.847,2.17,149.95,170.81,2460944.66,1190,3.27,0.835,325,2.72,3.65,17490,0,0.49704,N,MBA
20008479,  8479 Held (1987 HD2),Held,N,0,13.57,JPL 61,0.2303,2.427,1.868,1.33,167.54,78.48,2460808.59,1380,3.78,0.857,333,2.04,3.47,32891,0,0.44344,N,MBA
20008482,  8482 Wayneolm (1988 RA11),Wayneolm,N,0,13.45,JPL 55,0.0792,3.335,3.071,3.1,120.96,226.42,2460824.01,2220,6.09,2.06,803,1.75,3.15,17078,0,0.50595,N,OMB
20008483,  8483 Kinwalaniihsia (1988 SY1),Kinwalaniihsia,N,0,14.27,JPL 53,0.0815,2.39,2.195,7.42,49.76,226.03,2460667.65,1350,3.69,1.19,462,2.48,3.52,15642,0,0.41151,N,MBA
20008485,  8485 Satoru (1989 FL),Satoru,N,0,13.54,JPL 56,0.1617,2.755,2.309,8.94,344.86,230.71,2460994.3,1670,4.57,1.32,513,1.83,3.31,25289,0,0.40656,N,MBA
20008486,  8486 Asherschel (1989 QV),Asherschel,N,0,13.43,JPL 42,0.1423,3.159,2.71,23.61,24.45,35.27,2460587.1,2050,5.62,1.74,679,1.94,3.06,12800,0,0.43154,N,MBA
20008488,  8488 d'Argens (1989 SR1),d'Argens,N,0,14.78,JPL 44,0.0836,2.258,2.07,4.61,80.17,213.85,2461196.09,1240,3.39,1.06,411,2.66,3.61,13076,0,0.45543,N,MBA
20008489,  8489 Boulder (1989 TA3),Boulder,N,0,13.47,JPL 53,0.1201,3.144,2.767,5.84,145.92,101.72,2461378.14,2040,5.58,1.76,686,1.54,3.19,17516,0,0.50594,N,MBA
20008491,  8491 Joelle-gilles (1989 YL5),Joelle-gilles,N,0,14.34,JPL 46,0.1545,2.415,2.042,1.86,311.63,142.82,2460225.42,1370,3.75,1.06,412,2.39,3.5,12588,0,0.50692,N,MBA
20008492,  8492 Kikuoka (1990 BZ),Kikuoka,N,0,13.72,JPL 44,0.0831,2.534,2.323,14.37,310.24,108.36,2460948.36,1470,4.03,1.38,537,2.5,3.4,15563,0,0.44771,N,MBA
20008493,  8493 Yachibozu (1990 BY1),Yachibozu,N,0,14.31,JPL 48,0.1686,2.476,2.058,3.12,244.41,217,2460631.06,1420,3.9,1.08,419,2.27,3.46,14122,0,0.54757,N,MBA
20008494,  8494 Edpatvega (1990 OT4),Edpatvega,N,0,13.56,JPL 53,0.1702,2.663,2.21,11.95,153.32,127.81,2460722.76,1590,4.35,1.22,474,2.15,3.33,26652,0,0.49151,N,MBA
20008496,  8496 Jandlsmith (1990 QO3),Jandlsmith,N,0,12.59,JPL 58,0.0893,3.126,2.846,10.62,354.25,54.02,2460579.77,2020,5.53,1.87,728,1.99,3.18,12445,0,0.3777,N,MBA
20008498,  8498 Ufa (1990 RM17),Ufa,N,0,12.97,JPL 48,0.1116,2.999,2.665,10.25,342.52,44.84,2461484.98,1900,5.19,1.68,653,2.19,3.22,17307,0,0.3494,N,MBA
20008500,  8500 Hori (1990 TU),Hori,N,0,13.2,JPL 46,0.1378,3.002,2.588,12.33,208.94,173.12,2461455.87,1900,5.2,1.59,619,2.04,3.2,14113,0,0.37374,N,MBA
20008501,  8501 Wachholz (1990 TK8),Wachholz,N,0,12.98,JPL 50,0.068,3.023,2.818,10.82,42.31,179.78,2460697.12,1920,5.26,1.81,705,1.74,3.21,13182,0,0.46392,N,MBA
20008502,  8502 Bauhaus (1990 TR12),Bauhaus,N,0,12.83,JPL 59,0.1038,2.988,2.678,9.46,239.92,83.16,2460974.4,1890,5.17,1.69,656,1.99,3.23,14142,0,0.46181,N,MBA
20008503,  8503 Masakatsu (1990 WX3),Masakatsu,N,0,14.04,JPL 54,0.1692,2.208,1.834,6.7,95.57,307.32,2460149.98,1200,3.28,0.852,332,2.82,3.63,15936,0,0.49382,N,MBA
20008515,  8515 Corvan (1991 RJ),Corvan,N,0,13.43,JPL 48,0.1629,2.622,2.195,13.23,337.63,332.68,2460792.96,1550,4.25,1.19,463,2.28,3.35,26877,0,0.44216,N,MBA
20008516,  8516 Hyakkai (1991 TW1),Hyakkai,N,0,13.46,JPL 55,0.1634,2.754,2.304,5.86,51.41,346.96,2460289.22,1670,4.57,1.31,511,2.22,3.32,18346,0,0.38041,N,MBA
20008521,  8521 Boulainvilliers (1992 GF4),Boulainvilliers,N,0,14.47,JPL 52,0.1816,2.222,1.818,6.55,37.72,339.2,2460149.8,1210,3.31,0.821,320,2.84,3.62,23173,0,0.50057,N,MBA
20008523,  8523 Bouillabaisse (1992 PX),Bouillabaisse,N,0,14.85,JPL 49,0.1277,2.351,2.05,4.54,161.38,210.75,2460844.96,1320,3.6,1.05,409,2.81,3.54,16244,0,0.40661,N,MBA
20008524,  8524 Paoloruffini (1992 RJ3),Paoloruffini,N,0,14.6,JPL 47,0.1099,2.368,2.108,7.19,344.01,271.7,2460578.76,1330,3.65,1.11,432,2.44,3.53,12222,0,0.51765,N,MBA
20008525,  8525 Nielsabel (1992 RZ5),Nielsabel,N,0,14.48,JPL 54,0.1613,2.406,2.018,3.06,82.89,78.41,2460390.3,1360,3.73,1.03,401,2.19,3.5,11632,0,0.55362,N,MBA
20008526,  8526 Takeuchiyukou (1992 SM12),Takeuchiyukou,N,0,14.06,JPL 57,0.1399,2.385,2.051,6.22,149.59,150.78,2460779.05,1350,3.68,1.04,404,2.49,3.52,27157,0,0.49891,N,MBA
20008527,  8527 Katayama (1992 SV12),Katayama,N,0,14.06,JPL 51,0.1838,2.259,1.844,7.42,6.16,285.9,2461096.86,1240,3.4,0.845,329,2.54,3.59,24979,0,0.48376,N,MBA
20008529,  8529 Sinzi (1992 UH2),Sinzi,N,0,14.28,JPL 42,0.1457,2.44,2.085,5.62,223.22,168.62,2460053.22,1390,3.81,1.09,424,2.64,3.48,11997,0,0.49509,N,MBA
20008530,  8530 Korbokkur (1992 UK5),Korbokkur,N,0,14.06,JPL 58,0.2592,2.326,1.723,5.15,53.11,250.92,2460313.46,1300,3.55,0.717,279,2.33,3.52,18280,0,0.35613,N,MBA
20008531,  8531 Mineosaito (1992 WX2),Mineosaito,N,0,13.87,JPL 50,0.1207,2.629,2.311,3.27,204.9,285.94,2460115.59,1560,4.26,1.33,518,2.11,3.39,23977,0,0.47435,N,MBA
20008533,  8533 Oohira (1993 BM),Oohira,N,0,13.33,JPL 57,0.0864,2.764,2.525,8.5,325.78,187.25,2460831.83,1680,4.6,1.54,598,2,3.32,16668,0,0.43714,N,MBA
20008534,  8534 Knutsson (1993 FJ10),Knutsson,N,0,13.09,JPL 57,0.0424,2.881,2.759,2.98,67.51,17.76,2461108.42,1790,4.89,1.78,691,2.09,3.29,15632,0,0.44734,N,MBA
20008535,  8535 Pellesvanslos (1993 FH22),Pellesvanslos,N,0,13.54,JPL 51,0.1642,3.152,2.634,0.6,194.19,117.47,2459880.64,2040,5.6,1.62,631,1.6,3.19,17256,0,0.50484,N,MBA
20008536,  8536 Mans (1993 FK23),Mans,N,0,13.35,JPL 49,0.0888,3.01,2.742,8.5,3.99,273.45,2460925.4,1910,5.22,1.74,679,1.88,3.23,19072,0,0.38466,N,MBA
20008537,  8537 Billochbull (1993 FG24),Billochbull,N,0,12.63,JPL 58,0.1054,3.036,2.715,9.95,193.96,96.11,2461174.71,1930,5.29,1.72,671,1.85,3.21,25796,0,0.3834,N,MBA
20008538,  8538 Gammelmaja (1993 FR26),Gammelmaja,N,0,12.52,JPL 64,0.0885,3.013,2.746,9.36,350.04,317.88,2461121.83,1910,5.23,1.74,678,2.03,3.22,25841,0,0.34213,N,MBA
20008539,  8539 Laban (1993 FT32),Laban,N,0,13.15,JPL 53,0.0851,2.941,2.69,3.14,89.52,290.95,2461098.54,1840,5.04,1.69,659,2.25,3.27,17864,0,0.45745,N,MBA
20008540,  8540 Ardeberg (1993 FK80),Ardeberg,N,0,13.5,JPL 46,0.217,3.12,2.443,4.71,38.16,16.47,2460552.66,2010,5.51,1.45,566,1.6,3.17,16428,0,0.43376,N,MBA
20008541,  8541 Schalkenmehren (1993 TZ32),Schalkenmehren,N,0,15.09,JPL 50,0.0487,2.18,2.074,2.78,124,272.23,2461064.67,1180,3.22,1.08,421,2.87,3.68,25533,0,0.50453,N,MBA
20008543,  8543 Tsunemi (1993 XO1),Tsunemi,N,0,14.47,JPL 51,0.1661,2.255,1.88,4.29,212.33,116.43,2460076.08,1240,3.39,0.874,340,2.7,3.6,16194,0,0.39274,N,MBA
20008544,  8544 Sigenori (1993 YE),Sigenori,N,0,14.67,JPL 44,0.0857,2.308,2.11,0.96,149.96,317.72,2460911.26,1280,3.51,1.13,439,2.57,3.58,12237,0,0.51873,N,MBA
20008545,  8545 McGee (1994 AM1),McGee,N,0,14.98,JPL 45,0.1249,2.353,2.06,5.85,273.15,120.14,2461027.3,1320,3.61,1.07,418,2.77,3.54,11144,0,0.53014,N,MBA
20008546,  8546 Kenmotsu (1994 AH3),Kenmotsu,N,0,13.73,JPL 57,0.0467,2.403,2.291,4.41,266.69,232.26,2460293.35,1360,3.73,1.31,509,2.5,3.52,19079,0,0.43473,N,MBA
20008548,  8548 Sumizihara (1994 ER3),Sumizihara,N,0,13.52,JPL 54,0.2601,2.587,1.914,7.66,141.31,353.02,2459960.26,1520,4.16,0.93,362,1.8,3.36,26527,0,0.39595,N,MBA
20008549,  8549 Alcide (1994 FS),Alcide,N,0,14.32,JPL 54,0.1879,2.435,1.977,1.88,205.57,64.85,2460938.26,1390,3.8,0.963,375,2.2,3.48,10959,0,0.48924,N,MBA
20008550,  8550 Hesiodos (1994 PV24),Hesiodos,N,0,12.44,JPL 57,0.2605,3.946,2.919,2.88,23.47,336.38,2461169.11,2860,7.84,1.92,745,0.476,3,16364,0,0.49385,N,OMB
20008551,  8551 Daitarabochi (1994 VC7),Daitarabochi,N,0,11.31,JPL 63,0.1539,3.991,3.376,14.16,52.15,260.4,2460628.89,2910,7.97,2.4,936,0.946,2.98,13800,0,0.35934,N,OMB
20008552,  8552 Hyoichi (1995 HE),Hyoichi,N,0,14.32,JPL 43,0.1797,2.798,2.295,4.35,27.57,60.14,2461301.03,1710,4.68,1.32,512,1.94,3.3,23299,0,0.48287,N,MBA
20008553,  8553 Bradsmith (1995 HG),Bradsmith,N,0,14.01,JPL 53,0.1272,2.248,1.962,5.45,54.18,234.83,2461124.22,1230,3.37,0.952,371,2.6,3.61,12609,0,0.45514,N,MBA
20008554,  8554 Gabreta (1995 KH),Gabreta,N,0,15.41,JPL 42,0.0912,2.214,2.012,1.93,147.37,14.06,2460474.35,1200,3.29,1.02,398,2.56,3.65,13226,0,0.51128,N,MBA
20008555,  8555 Mirimao (1995 LD),Mirimao,N,0,14.64,JPL 55,0.0721,2.356,2.186,6.02,216.5,18.36,2460390.83,1320,3.62,1.18,458,2.45,3.54,12201,0,0.49649,N,MBA
20008556,  8556 Jana (1995 NB),Jana,N,0,13.43,JPL 54,0.3586,2.913,1.868,5.36,107.12,257.01,2460919.9,1820,4.97,0.874,340,1.53,3.18,11911,0,0.39356,N,MBA
20008557,  8557 Saroun (1995 OK),Saroun,N,0,15.27,JPL 42,0.1406,2.307,1.983,6.96,124.86,204.89,2460227.88,1280,3.5,0.973,379,2.68,3.56,11336,0,0.42355,N,MBA
20008558,  8558 Hack (1995 PC),Hack,N,0,14.62,JPL 43,0.2211,3.12,2.43,0.28,40.03,307.5,2460168.42,2010,5.51,1.42,554,1.61,3.18,11958,0,0.55674,N,MBA
20008560,  8560 Tsubaki (1995 SD5),Tsubaki,N,0,12.75,JPL 59,0.0713,2.958,2.747,13.39,350.27,328.62,2460891.27,1860,5.09,1.74,679,2.17,3.22,12388,0,0.39216,N,MBA
20008561,  8561 Sikoruk (1995 SO29),Sikoruk,N,0,13.45,JPL 41,0.2174,3.104,2.429,2.05,139.56,237.67,2460001.16,2000,5.47,1.43,557,1.68,3.18,18457,0,0.47806,N,MBA
20008564,  8564 Anomalocaris (1995 UL3),Anomalocaris,N,0,12.98,JPL 53,0.119,3.247,2.86,12.26,6.95,337.38,2460460.12,2140,5.85,1.86,723,1.81,3.13,11846,0,0.44933,N,OMB
20008568,  8568 Larrywilson (1996 RU2),Larrywilson,N,0,15.4,JPL 49,0.1013,2.157,1.939,0.87,44.75,242.01,2460582.39,1160,3.17,0.923,359,2.72,3.69,11274,0,0.54802,N,MBA
20008569,  8569 Mameli (1996 TG),Mameli,N,0,14.78,JPL 44,0.1283,2.227,1.941,3.4,322.69,26.2,2459999.87,1210,3.32,0.935,364,2.86,3.63,13693,0,0.51311,N,MBA
20008571,  8571 Taniguchi (1996 UX),Taniguchi,N,0,13.41,JPL 58,0.0703,2.852,2.651,0.99,261.43,174.08,2461063.38,1760,4.82,1.67,649,2.13,3.3,15690,0,0.5091,N,MBA
20008572,  8572 Nijo (1996 UG1),Nijo,N,0,15.19,JPL 45,0.1873,2.213,1.798,5.25,190.35,153.79,2461055.18,1200,3.29,0.792,308,2.78,3.63,15352,0,0.53764,N,MBA
20008573,  8573 Ivanka (1996 VQ),Ivanka,N,0,12.68,JPL 58,0.128,2.982,2.601,13.53,33.28,84.91,2460109.74,1880,5.15,1.66,646,1.87,3.21,16027,0,0.41466,N,MBA
20008574,  8574 Makotoirie (1996 VC2),Makotoirie,N,0,15.05,JPL 51,0.1815,2.145,1.756,1.24,253.53,88.94,2460552.58,1150,3.14,0.748,291,2.85,3.69,32156,0,0.50027,N,MBA
20008575,  8575 Seishitakeuchi (1996 VL8),Seishitakeuchi,N,0,14.9,JPL 43,0.2169,2.221,1.739,4.01,295.46,37.32,2461101.29,1210,3.31,0.73,284,2.66,3.62,15250,0,0.51974,N,MBA
20008577,  8577 Choseikomori (1996 VX8),Choseikomori,N,0,13.88,JPL 53,0.1973,2.328,1.868,6.4,202.63,112.76,2460520.67,1300,3.55,0.867,337,2.53,3.54,16774,0,0.3443,N,MBA
