spkid,full_name,name,neo,sats,H,orbit_id,e,a,q,i,om,w,tp,per,per_y,moid,moid_ld,moid_jup,t_jup,data_arc,condition_code,rms,pha,class
20000030,    30 Urania (A854 OA),Urania,N,0,7.59,JPL 140,0.1269,2.366,2.066,2.09,307.4,87.1,2461149.61,1330,3.64,1.07,418,2.75,3.54,60101,0,0.44521,N,MBA
20000031,    31 Euphrosyne (A854 RA),Euphrosyne,N,1,6.86,JPL 125,0.216,3.16,2.478,26.32,30.8,61.86,2460156.66,2050,5.62,1.59,619,1.97,3.01,59799,0,0.46733,N,MBA
20000032,    32 Pomona (A854 UA),Pomona,N,0,7.78,JPL 140,0.0816,2.587,2.376,5.52,220.36,338.15,2459980.22,1520,4.16,1.38,535,2.17,3.41,58688,0,0.31969,N,MBA
20000033,    33 Polyhymnia (A854 UB),Polyhymnia,N,0,8.5,JPL 76,0.3317,2.873,1.92,1.85,8.43,338.65,2460470.62,1780,4.87,0.913,355,1.6,3.21,61590,0,0.40585,N,MBA
20000034,    34 Circe (A855 GA),Circe,N,0,8.78,JPL 114,0.1068,2.686,2.399,5.5,184.33,329.83,2461247.04,1610,4.4,1.41,550,2.02,3.36,58575,0,0.29449,N,MBA
20000035,    35 Leukothea (A855 HA),Leukothea,N,0,8.7,JPL 83,0.2188,3.01,2.351,7.86,353.27,214.69,2461267.15,1910,5.22,1.35,527,1.34,3.2,60085,0,0.36448,N,MBA
20000036,    36 Atalante (A855 TA),Atalante,N,0,8.58,JPL 120,0.3065,2.746,1.904,18.37,358.18,47.84,2460541.41,1660,4.55,0.955,372,2.1,3.21,57923,0,0.35613,N,MBA
20000037,    37 Fides (A855 TB),Fides,N,0,7.39,JPL 153,0.175,2.642,2.18,3.07,7.24,62.2,2460246.68,1570,4.29,1.2,465,2.2,3.37,61595,0,0.47364,N,MBA
20000038,    38 Leda (A856 AA),Leda,N,0,8.49,JPL 136,0.1509,2.742,2.328,6.95,295.5,169.65,2460236.17,1660,4.54,1.35,524,1.99,3.32,61517,0,0.37653,N,MBA
20000039,    39 Laetitia (A856 CA),Laetitia,N,0,5.97,JPL 132,0.112,2.768,2.458,10.37,156.93,209.96,2460560.87,1680,4.61,1.46,568,2.37,3.31,61491,0,0.24899,N,MBA
20000040,    40 Harmonia (A856 FA),Harmonia,N,0,6.55,JPL 145,0.0461,2.267,2.163,4.26,94.16,269.36,2460720.72,1250,3.41,1.16,453,2.79,3.61,59950,0,0.32464,N,MBA
20000041,    41 Daphne (A856 KA),Daphne,N,1,7.63,JPL 157,0.2717,2.769,2.017,15.74,177.9,46.49,2461333.49,1680,4.61,1.04,407,1.56,3.23,57769,0,0.30437,N,MBA
20000042,    42 Isis (A856 KB),Isis,N,0,7.71,JPL 129,0.222,2.443,1.9,8.51,84.17,237.26,2460600.76,1390,3.82,0.903,351,2.35,3.45,61430,0,0.3413,N,MBA
20000043,    43 Ariadne (A857 GA),Ariadne,N,0,7.96,JPL 142,0.1685,2.203,1.832,3.47,264.75,16.13,2460531.05,1190,3.27,0.817,318,2.54,3.64,58469,0,0.47237,N,MBA
20000044,    44 Nysa (A857 KA),Nysa,N,0,6.75,JPL 143,0.1496,2.422,2.06,3.71,131.49,344.14,2461042.67,1380,3.77,1.08,419,2.31,3.5,58625,0,0.3534,N,MBA
20000045,    45 Eugenia (A857 MA),Eugenia,N,2,7.78,JPL 138,0.083,2.72,2.494,6.61,147.58,87.33,2460060.81,1640,4.49,1.5,582,2.06,3.34,57824,0,0.27678,N,MBA
20000046,    46 Hestia (A857 QA),Hestia,N,0,8.55,JPL 185,0.1722,2.525,2.09,2.35,181.07,177.08,2461245.83,1470,4.01,1.09,423,2.48,3.43,58528,0,0.44248,N,MBA
20000047,    47 Aglaja (A857 RA),Aglaja,N,0,8.19,JPL 145,0.131,2.885,2.507,4.97,2.97,315.9,2460133.13,1790,4.9,1.5,583,2.04,3.27,60101,0,0.36372,N,MBA
20000048,    48 Doris (A857 SA),Doris,N,0,7.14,JPL 199,0.0665,3.112,2.905,6.56,183.43,251.06,2460209.44,2000,5.49,1.93,750,1.9,3.21,59979,0,0.44699,N,MBA
20000049,    49 Pales (A857 SB),Pales,N,0,8.02,JPL 115,0.2216,3.099,2.412,3.2,284.99,113.38,2461260.42,1990,5.46,1.42,553,1.67,3.18,58736,0,0.32,N,MBA
20000050,    50 Virginia (A857 TA),Virginia,N,0,9.47,JPL 144,0.2848,2.652,1.897,2.84,173.46,200.05,2461059,1580,4.32,0.897,349,2.06,3.33,60948,0,0.33053,N,MBA
20000051,    51 Nemausa (A858 BA),Nemausa,N,0,7.74,JPL 149,0.0661,2.366,2.21,9.97,175.9,1.89,2460901.27,1330,3.64,1.22,473,2.43,3.52,58805,0,0.34638,N,MBA
20000052,    52 Europa (A858 CA),Europa,N,0,6.66,JPL 131,0.1117,3.092,2.747,7.48,128.58,342.95,2461262.54,1990,5.44,1.77,687,1.67,3.2,59964,0,0.294,N,MBA
20000053,    53 Kalypso (A858 GA),Kalypso,N,0,8.92,JPL 194,0.2028,2.619,2.088,5.18,143.44,314.31,2459877.1,1550,4.24,1.11,432,2.04,3.37,57984,0,0.34638,N,MBA
20000054,    54 Alexandra (A858 RA),Alexandra,N,0,7.98,JPL 201,0.1969,2.713,2.179,11.8,313.17,345.63,2460150.46,1630,4.47,1.17,454,2,3.3,10338,0,0.25701,N,MBA
20000055,    55 Pandora (A858 RB),Pandora,N,0,7.85,JPL 101,0.145,2.759,2.359,7.18,10.31,5.17,2460269.35,1670,4.58,1.36,529,2.31,3.31,54089,0,0.29485,N,MBA
